股票名稱,日期,日報酬率(%)
2327 國巨,2019/3/4,1.0116
2327 國巨,2019/3/5,-2.7182
2327 國巨,2019/3/6,-0.1471
2327 國巨,2019/3/7,-1.0309
2327 國巨,2019/3/8,0.1488
2327 國巨,2019/3/11,0.8915
2327 國巨,2019/3/12,-2.2091
2327 國巨,2019/3/13,1.8072
2327 國巨,2019/3/14,0.2959
2327 國巨,2019/3/15,1.9174
2327 國巨,2019/3/18,-1.3025
2327 國巨,2019/3/19,-2.1994
2327 國巨,2019/3/20,0.2999
2327 國巨,2019/3/21,0
2327 國巨,2019/3/22,-1.0463
2327 國巨,2019/3/25,-3.9275
2327 國巨,2019/3/26,1.5723
2327 國巨,2019/3/27,0.3096
2327 國巨,2019/3/28,-0.6173
2327 國巨,2019/3/29,0.3106
2327 國巨,2019/4/1,-0.6192
2327 國巨,2019/4/2,-0.3115
2327 國巨,2019/4/3,3.125
2327 國巨,2019/4/8,-1.6667
2327 國巨,2019/4/9,1.6949
2327 國巨,2019/4/10,-0.303
2327 國巨,2019/4/11,0
2327 國巨,2019/4/12,-0.9119
2327 國巨,2019/4/15,1.3804
2327 國巨,2019/4/16,0.6051
2327 國巨,2019/4/17,3.7594
2327 國巨,2019/4/18,-4.058
2327 國巨,2019/4/19,0.7553
2327 國巨,2019/4/22,-1.7991
2327 國巨,2019/4/23,-1.8321
2327 國巨,2019/4/24,-0.6221
2327 國巨,2019/4/25,0.626
2327 國巨,2019/4/26,-0.7776
2327 國巨,2019/4/29,-5.7994
2327 國巨,2019/4/30,1.3311
2327 國巨,2019/5/2,-0.3284
2327 國巨,2019/5/3,-1.1532
2327 國巨,2019/5/6,-2.1667
2327 國巨,2019/5/7,-0.1704
2327 國巨,2019/5/8,0.5119
2327 國巨,2019/5/9,-2.8862
2327 國巨,2019/5/10,-1.9231
2327 國巨,2019/5/13,-7.4866
2327 國巨,2019/5/14,-0.578
2327 國巨,2019/5/15,0.3876
2327 國巨,2019/5/16,-3.861
2327 國巨,2019/5/17,0.2008
2327 國巨,2019/5/20,0.8016
2327 國巨,2019/5/21,2.5845
2327 國巨,2019/5/22,-1.7442
2327 國巨,2019/5/23,-3.5503
2327 國巨,2019/5/24,-1.0225
2327 國巨,2019/5/27,1.2397
2327 國巨,2019/5/28,0.2041
2327 國巨,2019/5/29,3.8697
2327 國巨,2019/5/30,-1.5686
2327 國巨,2019/5/31,3.9841
2327 國巨,2019/6/3,0.3831
2327 國巨,2019/6/4,0.5725
2327 國巨,2019/6/5,-2.8463
2327 國巨,2019/6/6,-4.2969
2327 國巨,2019/6/10,2.449
2327 國巨,2019/6/11,0.1992
2327 國巨,2019/6/12,-0.994
2327 國巨,2019/6/13,-0.8032
2327 國巨,2019/6/14,1.6194
2327 國巨,2019/6/17,3.9841
2327 國巨,2019/6/18,-1.1494
2327 國巨,2019/6/19,2.3256
2327 國巨,2019/6/20,2.2727
2327 國巨,2019/6/21,-0.9259
2327 國巨,2019/6/24,1.3084
2327 國巨,2019/6/25,-2.7675
2327 國巨,2019/6/26,0.9488
2327 國巨,2019/6/27,0.5639
2327 國巨,2019/6/28,-1.3084
2327 國巨,2019/7/1,3.2197
2327 國巨,2019/7/2,-0.367
2327 國巨,2019/7/3,-0.5525
2327 國巨,2019/7/4,2.5926
2327 國巨,2019/7/5,0.361
2327 國巨,2019/7/8,-1.0791
2327 國巨,2019/7/9,-4
2327 國巨,2019/7/10,1.8939
2327 國巨,2019/7/11,0.9294
2327 國巨,2019/7/12,0.7366
2327 國巨,2019/7/15,-2.1938
2327 國巨,2019/7/16,0.7477
2327 國巨,2019/7/17,-0.9276
2327 國巨,2019/7/18,-2.9963
2327 國巨,2019/7/19,-0.5792
2327 國巨,2019/7/22,-1.7476
2327 國巨,2019/7/23,0.7905
2327 國巨,2019/7/24,0.1961
2327 國巨,2019/7/25,0.9785
2327 國巨,2019/7/26,0.5814
2327 國巨,2019/7/29,-0.3854
2327 國巨,2019/7/30,2.3211
2327 國巨,2019/7/31,0.5671
2327 國巨,2019/8/1,0
2327 國巨,2019/8/2,-3.1955
2327 國巨,2019/8/5,0.9709
2327 國巨,2019/8/6,-0.5769
2327 國巨,2019/8/7,-3.0948
2327 國巨,2019/8/8,2.5948
2327 國巨,2019/8/12,4.4747
2327 國巨,2019/8/13,-0.7449
2327 國巨,2019/8/14,0.7505
2327 國巨,2019/8/15,-1.4898
2327 國巨,2019/8/16,-0.3781
2327 國巨,2019/8/19,0.3795
2327 國巨,2019/8/20,0.3781
2327 國巨,2019/8/21,-3.0132
2327 國巨,2019/8/22,-1.7476
2327 國巨,2019/8/23,1.9763
2327 國巨,2019/8/26,-1.6144
2327 國巨,2019/8/27,-2.8708
2327 國巨,2019/8/28,0.7389
2327 國巨,2019/8/29,0.978
2327 國巨,2019/8/30,9.9274
2327 國巨,2019/9/2,3.9648
2327 國巨,2019/9/3,-0.2119
2327 國巨,2019/9/4,-0.4246
2327 國巨,2019/9/5,1.4925
2327 國巨,2019/9/6,-0.4202
2327 國巨,2019/9/9,-1.6878
2327 國巨,2019/9/10,-1.9313
2327 國巨,2019/9/11,0.6565
2327 國巨,2019/9/12,0.4348
2327 國巨,2019/9/16,0.2165
2327 國巨,2019/9/17,0.8639
2327 國巨,2019/9/18,-0.4283
2327 國巨,2019/9/19,-0.2151
2327 國巨,2019/9/20,0.6466
2327 國巨,2019/9/23,-0.2141
2327 國巨,2019/9/24,-0.6438
2327 國巨,2019/9/25,-0.8639
2327 國巨,2019/9/26,3.9216
2327 國巨,2019/9/27,3.3543
2327 國巨,2019/10/1,8.7221
2327 國巨,2019/10/2,0.3731
2327 國巨,2019/10/3,-1.3011
2327 國巨,2019/10/4,-1.6949
2327 國巨,2019/10/7,5.7471
2327 國巨,2019/10/8,8.1522
2327 國巨,2019/10/9,1.005
2327 國巨,2019/10/14,4.3118
2327 國巨,2019/10/15,-2.7027
2327 國巨,2019/10/16,-1.3072
2327 國巨,2019/10/17,2.8146
2327 國巨,2019/10/18,0.6441
2327 國巨,2019/10/21,0.32
2327 國巨,2019/10/22,-0.638
2327 國巨,2019/10/23,0.321
2327 國巨,2019/10/24,1.44
2327 國巨,2019/10/25,-0.3155
2327 國巨,2019/10/28,0.1582
2327 國巨,2019/10/29,0.4739
2327 國巨,2019/10/30,0.7862
2327 國巨,2019/10/31,-2.0281
2327 國巨,2019/11/1,0.6369
2327 國巨,2019/11/4,-1.1076
2327 國巨,2019/11/5,-0.16
2327 國巨,2019/11/6,-1.6026
2327 國巨,2019/11/7,-0.3257
2327 國巨,2019/11/8,0.3268
2327 國巨,2019/11/11,-7.9805
2327 國巨,2019/11/12,0
2327 國巨,2019/11/13,9.9115
2327 國巨,2019/11/14,5.153
2327 國巨,2019/11/15,-1.6845
2327 國巨,2019/11/18,-1.0903
2327 國巨,2019/11/19,1.8898
2327 國巨,2019/11/20,-1.0819
2327 國巨,2019/11/21,-0.4687
2327 國巨,2019/11/22,-0.471
2327 國巨,2019/11/25,1.735
2327 國巨,2019/11/26,1.2403
2327 國巨,2019/11/27,3.0628
2327 國巨,2019/11/28,-0.4458
2327 國巨,2019/11/29,-1.4925
2327 國巨,2019/12/2,2.4242
2327 國巨,2019/12/3,7.3964
2327 國巨,2019/12/4,-0.551
2327 國巨,2019/12/5,0.277
2327 國巨,2019/12/6,1.9337
2327 國巨,2019/12/9,0.9485
2327 國巨,2019/12/10,-1.2081
2327 國巨,2019/12/11,2.8533
2327 國巨,2019/12/12,0.7926
2327 國巨,2019/12/13,-1.3106
2327 國巨,2019/12/16,0.664
2327 國巨,2019/12/17,-0.5277
2327 國巨,2019/12/18,-0.1326
2327 國巨,2019/12/19,1.7264
2327 國巨,2019/12/20,1.6971
2327 國巨,2019/12/23,-1.6688
2327 國巨,2019/12/24,3.1332
2327 國巨,2019/12/25,2.1519
2327 國巨,2019/12/26,-0.3717
2327 國巨,2019/12/27,2.2388
2327 國巨,2019/12/30,6.0827
2327 國巨,2019/12/31,0.2294
2327 國巨,2020/1/2,-0.2288
2327 國巨,2020/1/3,7.3394
2327 國巨,2020/1/6,-1.7094
2327 國巨,2020/1/7,-10
2327 國巨,2020/1/8,-6.5217
2327 國巨,2020/1/9,1.292
2327 國巨,2020/1/10,0.1276
2327 國巨,2020/1/13,-0.6369
2327 國巨,2020/1/14,7.4359
2327 國巨,2020/1/15,-1.432
2327 國巨,2020/1/16,0.9685
2327 國巨,2020/1/17,-0.9592
2327 國巨,2020/1/20,0.6053
2327 國巨,2020/1/30,-9.988
2327 國巨,2020/1/31,3.3422
2327 國巨,2020/2/3,1.423
2327 國巨,2020/2/4,6.7602
2327 國巨,2020/2/5,-1.3142
2327 國巨,2020/2/6,0.9685
2327 國巨,2020/2/7,-0.1199
2327 國巨,2020/2/10,0.4802
2327 國巨,2020/2/11,4.4205
2327 國巨,2020/2/12,2.5172
2327 國巨,2020/2/13,-2.0089
2327 國巨,2020/2/14,4.1002
2327 國巨,2020/2/17,-0.8753
2327 國巨,2020/2/18,-0.6623
2327 國巨,2020/2/19,2.2222
2327 國巨,2020/2/20,-0.5435
2327 國巨,2020/2/21,3.1694
2327 國巨,2020/2/24,2.6483
2327 國巨,2020/2/25,0.1032
2327 國巨,2020/2/26,-9.0722
2327 國巨,2020/2/27,-7.0295
2327 國巨,2020/3/2,2.0732
2330 台積電,2019/3/4,-1.4644
2330 台積電,2019/3/5,-1.0616
2330 台積電,2019/3/6,0.4292
